z(m),p_tot(bar),T(K),p_H2O(bar),p_CO2(bar),p_CO(bar),p_H2(bar),p_CH4(bar),p_O2(bar)
59390.84149498367,81.25416651509956,1816.6580373256947,37.276609459206945,43.65234806122809,NaN,NaN,NaN,NaN
60449.125123820726,79.51463768288257,1810.8546866154957,36.47769132248687,42.71869307403175,NaN,NaN,NaN,NaN
61504.35534791321,77.81234325928385,1805.065797355,35.69591365634198,41.80498343250942,NaN,NaN,NaN,NaN
62556.530248262316,76.14649865823502,1799.291405278987,34.93091351789891,40.91080061146916,NaN,NaN,NaN,NaN
63605.66357892879,74.51631126356385,1793.5314609376926,34.182324432204574,40.03572162095733,NaN,NaN,NaN,NaN
64651.75346354073,72.92102972327079,1787.785998288463,33.44979897519386,39.179345520040286,NaN,NaN,NaN,NaN
65694.8097343958,71.3599007483645,1782.0549874476285,32.732988973024916,38.3412701893486,NaN,NaN,NaN,NaN
66734.84217716199,69.83218755426103,1776.338398000192,32.03155393677427,37.521102263782836,NaN,NaN,NaN,NaN
67771.84897799391,68.33718601923378,1770.6362613646309,31.345168477346135,36.71846581139656,NaN,NaN,NaN,NaN
68805.84376947062,66.87418481499122,1764.9485249122245,30.673504019019365,35.93298091003077,NaN,NaN,NaN,NaN
69836.82477850017,65.44250964550845,1759.2752184511646,30.016249069937437,35.16428743841237,NaN,NaN,NaN,NaN
70864.80558838633,64.04147931345622,1753.6162881956946,29.37308908413721,34.41202145652006,NaN,NaN,NaN,NaN
71889.78827234333,62.67044303270137,1747.9717418362472,28.743723553879853,33.67583527622812,NaN,NaN,NaN,NaN
72911.77115022812,61.328768562129014,1742.3416067306332,28.12786057704332,32.95539107531153,NaN,NaN,NaN,NaN
73930.77533192953,60.01580753040236,1736.7257863830653,27.525200944726606,32.25034227335073,NaN,NaN,NaN,NaN
74946.79910999209,58.73095511248359,1731.124307013129,26.935465495459034,31.560365615023322,NaN,NaN,NaN,NaN
75959.84838610038,57.4736095432397,1725.5371530991501,26.358376564022397,30.88513939709622,NaN,NaN,NaN,NaN
76969.9215570245,56.2431910090103,1719.9643491580853,25.793666627481056,30.22435363819885,NaN,NaN,NaN,NaN
77977.03954331565,55.03910490348244,1714.4057971679301,25.241061456996107,29.577690330011805,NaN,NaN,NaN,NaN
78981.20071355904,53.86079655564433,1708.861520626835,24.700305201656146,28.944852862175143,NaN,NaN,NaN,NaN
79982.40352039093,52.707722599143224,1703.3315420784731,24.171147272475707,28.325550622376653,NaN,NaN,NaN,NaN
80980.66874194192,51.57932580484542,1697.8157625067254,23.65333078850507,27.71948548347274,NaN,NaN,NaN,NaN
81975.99480204556,50.475086368570246,1692.3142035207682,23.146616086849843,27.126379375789856,NaN,NaN,NaN,NaN
82968.38757805446,49.39448711590732,1686.8268458192313,22.650764778522376,26.54595557549149,NaN,NaN,NaN,NaN
83957.84559476035,48.33702973817914,1681.353709511564,22.16554718077416,25.977947443106643,NaN,NaN,NaN,NaN
84944.38943993328,47.302203213473156,1675.894694445869,21.690727838270185,25.422081449841002,NaN,NaN,NaN,NaN
85928.01760879061,46.28953084143313,1670.4498199048596,21.22608708071423,24.87810246634242,NaN,NaN,NaN,NaN
86908.73596214813,45.298538333404196,1665.0190647279549,20.77140640048954,24.34575660304424,NaN,NaN,NaN,NaN
87886.54309440035,44.32876870205726,1659.6024468052572,20.326475269465824,23.824799223285183,NaN,NaN,NaN,NaN
88861.45940253178,43.379753301050734,1654.1998650528217,19.89107786125316,23.314979376688164,NaN,NaN,NaN,NaN
89833.48345065242,42.451054959545715,1648.8113366342398,19.465012821152335,22.816062990946808,NaN,NaN,NaN,NaN
90802.61388375968,41.54224541661066,1643.4368779079657,19.048082927304375,22.327820735496022,NaN,NaN,NaN,NaN
91768.87095554371,40.65288548519152,1638.0763872163486,18.64008598799641,21.850017367548016,NaN,NaN,NaN,NaN
92732.25328022621,39.78256547517479,1632.7298802617747,18.240833370646637,21.3824334642662,NaN,NaN,NaN,NaN
93692.76668552357,38.93087776913346,1627.3973331072946,17.85013743444384,20.924850675736636,NaN,NaN,NaN,NaN
94650.40988187575,38.09742961890162,1622.0787602343287,17.46781738996696,20.47705861062511,NaN,NaN,NaN,NaN
95605.20293173824,37.28181825621957,1616.7740593763513,17.093687888484872,20.038841457195545,NaN,NaN,NaN,NaN
96557.14451417518,36.483667963787994,1611.4832444476506,16.7275760127918,19.60999791503785,NaN,NaN,NaN,NaN
97506.24043583094,35.702604925119864,1606.2062901744732,16.369309751740403,19.1903276711397,NaN,NaN,NaN,NaN
98452.48947038902,34.9382689599829,1600.9432093395021,16.01872337445801,18.77963771407222,NaN,NaN,NaN,NaN
99395.9114889812,34.190290698949156,1595.6938992334383,15.675646966117684,18.37773006417831,NaN,NaN,NaN,NaN
