z(m),p_tot(bar),T(K),p_H2O(bar),p_CO2(bar),p_CO(bar),p_H2(bar),p_CH4(bar),p_O2(bar)
163503.5553356153,3.1512722133760955,1322.4748701026442,0.5730052245831372,2.561734931022715,NaN,NaN,NaN,NaN
164145.03293266956,3.084646899332503,1318.2969658004397,0.5608904479535657,2.5075739196110565,NaN,NaN,NaN,NaN
164784.60827773958,3.0194302012924994,1314.1299632432945,0.549031813672349,2.4545579920997573,NaN,NaN,NaN,NaN
165422.2760382163,2.9555932789122346,1309.9738931448292,0.5374240769999767,2.402663704181415,NaN,NaN,NaN,NaN
166058.0498747779,2.893105999473622,1305.8286646903366,0.5260617582337496,2.3518665609177813,NaN,NaN,NaN,NaN
166691.9433285148,2.8319389270264557,1301.6941877030715,0.5149395043959968,2.3021426337583026,NaN,NaN,NaN,NaN
167323.9510451022,2.7720650705044667,1297.5704929105298,0.5040524070998852,2.2534699816194803,NaN,NaN,NaN,NaN
167954.07713463285,2.7134570882782185,1293.457550444468,0.4933954942451816,2.2058263784073517,NaN,NaN,NaN,NaN
168582.32569967827,2.6560882167846787,1289.3553304506422,0.48296389886943225,2.1591900679241256,NaN,NaN,NaN,NaN
169208.71013974058,2.5999314304395664,1285.263743427131,0.4727527063921395,2.113539080943573,NaN,NaN,NaN,NaN
169833.21590606958,2.544962758641058,1281.1828790413485,0.4627575577528813,2.068853931675092,NaN,NaN,NaN,NaN
170455.84716130668,2.491157047214279,1277.1127070322618,0.45297387870396666,2.0251141721516674,NaN,NaN,NaN,NaN
171076.63572403314,2.4384873455197016,1273.0530195684385,0.4433967683626732,1.9822978940013285,NaN,NaN,NaN,NaN
171695.5579129949,2.3869319817853487,1269.003964971308,0.434022285737281,1.9403874801350256,NaN,NaN,NaN,NaN
172312.63619966948,2.33646587585017,1264.9653952853196,0.4248458701020362,1.8993625426897498,NaN,NaN,NaN,NaN
172927.8654126758,2.2870667579430104,1260.9373400321128,0.4158634717691642,1.859204978410779,NaN,NaN,NaN,NaN
173541.2495936832,2.2387120690922426,1256.9197695699597,0.4070709884839503,1.8198964489271712,NaN,NaN,NaN,NaN
174152.79277663355,2.191379727283045,1252.9126542955485,0.3984644047348733,1.7814190035795148,NaN,NaN,NaN,NaN
174762.48993113558,2.145048800396038,1248.9160229273027,0.3900399141153048,1.7437556264665253,NaN,NaN,NaN,NaN
175370.37224485833,2.09969608122247,1244.9296711036104,0.38179329654869315,1.7068874522030364,NaN,NaN,NaN,NaN
175976.42556194487,2.0553022535837036,1240.9536862151883,0.37372103948912283,1.6707987784905078,NaN,NaN,NaN,NaN
176580.64491042047,2.0118476842664057,1236.9880966621345,0.3658195727579293,1.6354736452917553,NaN,NaN,NaN,NaN
177183.06121012484,1.9693106062698034,1233.0326995854682,0.35808493819720916,1.6008943579556596,NaN,NaN,NaN,NaN
177783.65152448457,1.9276735158338218,1229.0876391417821,0.35051395285786807,1.567046687497446,NaN,NaN,NaN,NaN
178382.4288076484,1.8869167574767178,1225.1528282328238,0.3431030425495181,1.5339146557403083,NaN,NaN,NaN,NaN
178979.3970314448,1.8470217183568862,1221.2282376437975,0.335848822678999,1.5014831320805693,NaN,NaN,NaN,NaN
179574.5690001747,1.8079696034728479,1217.3137811380432,0.3287478755412119,1.469736837822325,NaN,NaN,NaN,NaN
180167.94859022475,1.7697426152403641,1213.4094300634995,0.32179696480426284,1.4386613050811663,NaN,NaN,NaN,NaN
180759.52209686194,1.7323244348049829,1209.51526939532,0.3149931230270949,1.4082432680540466,NaN,NaN,NaN,NaN
181349.31106068246,1.695696857849634,1205.6311564447658,0.30833303993875816,1.3784679281966823,NaN,NaN,NaN,NaN
181937.3193352493,1.659843191248836,1201.7570627458172,0.301813680061309,1.3493217154354824,NaN,NaN,NaN,NaN
182523.53335257195,1.6247481287999141,1197.8930725834502,0.2954322601125128,1.3207921871479928,NaN,NaN,NaN,NaN
183107.9744701419,1.5903945959437324,1194.0390443521178,0.2891856752724649,1.2928654631700862,NaN,NaN,NaN,NaN
183690.63786455547,1.5567674311927244,1190.1950058387968,0.28307116858804987,1.265529218506196,NaN,NaN,NaN,NaN
184271.53606537046,1.5238507910608459,1186.3608725067857,0.2770858591028455,1.2387705737434958,NaN,NaN,NaN,NaN
184850.66428668704,1.4916301477592337,1182.5366719949534,0.2712271051039903,1.2125777190204703,NaN,NaN,NaN,NaN
185428.03499000304,1.460090320055009,1178.7223202034018,0.2654921460668139,1.1869383132715028,NaN,NaN,NaN,NaN
186003.6519757201,1.4292169322914745,1174.9177891577037,0.25987836795288555,1.1618406702947803,NaN,NaN,NaN,NaN
186577.51051387066,1.3989963576168967,1171.123106288078,0.2543832928861982,1.1372737126027166,NaN,NaN,NaN,NaN
187149.6229644083,1.3694143563510788,1167.3381881569342,0.2490043315633406,1.11322586452169,NaN,NaN,NaN,NaN
187719.97616354833,1.3404582980498465,1163.563117108051,0.24373918729793814,1.0896868585547965,NaN,NaN,NaN,NaN
